"name","fine_storm_phase","fine_response","sum_abundance_total","max_abundance_total","min_abundance_total","mean_abundance_total","se_total","median_abundance_total","q1_abundance_total","q3_abundance_total","sum_abundance_new","max_abundance_new","min_abundance_new","mean_abundance_new","se_new","median_abundance_new","q1_abundance_new","q3_abundance_new","sum_abundance_old","max_abundance_old","min_abundance_old","mean_abundance_old","se_old","median_abundance_old","q1_abundance_old","q3_abundance_old","n_surveys"
"OLGA","post","extended",30,30,30,30,NA,30,30,30,0,0,0,0,NA,0,0,0,30,30,30,30,NA,30,30,30,1
"OLGA","post","subacute",12,12,12,12,NA,12,12,12,0,0,0,0,NA,0,0,0,12,12,12,12,NA,12,12,12,1
"OLGA","pre","acute",48,48,48,48,NA,48,48,48,48,48,48,48,NA,48,48,48,0,0,0,0,NA,0,0,0,1
"OLGA","pre","extended",3,3,3,3,NA,3,3,3,0,0,0,0,NA,0,0,0,3,3,3,3,NA,3,3,3,1
"OLGA","pre","subacute",46,46,46,46,NA,46,46,46,46,46,46,46,NA,46,46,46,0,0,0,0,NA,0,0,0,1
"SALLY","post","acute",1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1
"SALLY","post","extended",259,259,259,259,NA,259,259,259,0,0,0,0,NA,0,0,0,259,259,259,259,NA,259,259,259,1
"SALLY","post","subacute",2,2,2,2,NA,2,2,2,3,3,3,3,NA,3,3,3,2,2,2,2,NA,2,2,2,1
"SALLY","pre","acute",48,48,48,48,NA,48,48,48,0,0,0,0,NA,0,0,0,48,48,48,48,NA,48,48,48,1
"SALLY","pre","extended",1,1,1,1,NA,1,1,1,0,0,0,0,NA,0,0,0,3,3,3,3,NA,3,3,3,1
"SALLY","pre","subacute",23,23,23,23,NA,23,23,23,23,23,23,23,NA,23,23,23,0,0,0,0,NA,0,0,0,1
"ZETA","post","acute",1675,1675,1675,1675,NA,1675,1675,1675,0,0,0,0,NA,0,0,0,1675,1675,1675,1675,NA,1675,1675,1675,1
"ZETA","post","extended",4,4,4,4,NA,4,4,4,0,0,0,0,NA,0,0,0,4,4,4,4,NA,4,4,4,1
"ZETA","pre","extended",19,19,19,19,NA,19,19,19,0,0,0,0,NA,0,0,0,19,19,19,19,NA,19,19,19,1
NA,"control","control",6,6,6,6,NA,6,6,6,0,0,0,0,NA,0,0,0,6,6,6,6,NA,6,6,6,1
